"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка перехода на страницу Epolif GL21 через страницу Epolif Aqua","995","testGoToGl21FromAqua","Surefire suite","Sun Mar 09 18:08:33 GMT 2025","passed","Sun Mar 09 18:08:34 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testGoToGl21FromAqua"
"Проверка работоспособности кнопки 'Наверх' на странице Epolif GL21","750","testUpButtonGL21","Surefire suite","Sun Mar 09 18:08:17 GMT 2025","passed","Sun Mar 09 18:08:17 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testUpButtonGL21"
"Проверка перехода на страницу Epolif GL7 через страницу Epolif Aqua","1076","testGoToGl7FromAqua","Surefire suite","Sun Mar 09 18:08:34 GMT 2025","passed","Sun Mar 09 18:08:35 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testGoToGl7FromAqua"
"Проверка перехода на страницу Epolif GL7 через страницу Epolif GL21","1009","testGoToGL7FromGL21","Surefire suite","Sun Mar 09 18:08:15 GMT 2025","passed","Sun Mar 09 18:08:16 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testGoToGL7FromGL21"
"Проверка перехода на страницу Epolif GL7","559","testGoToGl7Page","Surefire suite","Sun Mar 09 18:08:42 GMT 2025","passed","Sun Mar 09 18:08:43 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testGoToGl7Page"
"Проверка перехода на страницу Epolif Aqua через страницу Epolif GL7","1017","testGoToAquaPageFromGL7","Surefire suite","Sun Mar 09 18:08:48 GMT 2025","passed","Sun Mar 09 18:08:49 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testGoToAquaPageFromGL7"
"Проверка перехода на страницу Epolif Aqua через страницу Epolif GL21","1036","testGoToAquaPageFromGL21","Surefire suite","Sun Mar 09 18:08:13 GMT 2025","passed","Sun Mar 09 18:08:14 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testGoToAquaPageFromGL21"
"Проверка перехода на страницу Epolif GL7 через повторное нажатие на ссылку 'Epolif GL7'","961","testGoToGL7FromGL7","Surefire suite","Sun Mar 09 18:08:50 GMT 2025","passed","Sun Mar 09 18:08:51 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testGoToGL7FromGL7"
"Проверка наличия промо видео на главной странице и его повторяемости","33","testVideo","Surefire suite","Sun Mar 09 18:08:43 GMT 2025","passed","Sun Mar 09 18:08:43 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testVideo"
"Проверка перехода на страницу Epolif GL7 через страницу ACP1","1005","testGoToGL7FromACP1","Surefire suite","Sun Mar 09 18:08:24 GMT 2025","passed","Sun Mar 09 18:08:26 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testGoToGL7FromACP1"
"Проверка наличия и корректности информации о компании в футере","44","testFooterInformation","Surefire suite","Sun Mar 09 18:08:40 GMT 2025","passed","Sun Mar 09 18:08:41 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testFooterInformation"
"Проверка перехода на страницу Epolif GL21 через клик на логотип","1409","testClickOnLogoGL21","Surefire suite","Sun Mar 09 18:08:09 GMT 2025","passed","Sun Mar 09 18:08:11 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testClickOnLogoGL21"
"Проверка перехода на главную страницу через ссылку 'Главная' на странице Epolif GL7","1092","testGoToMainPageFromGL7","Surefire suite","Sun Mar 09 18:08:51 GMT 2025","passed","Sun Mar 09 18:08:52 GMT 2025","tests.GL7Test","Surefire test","tests.GL7Test","testGoToMainPageFromGL7"
"Проверка корректности информации о компании в футере страницы Epolif Aqua","801","testFooterInformationAqua","Surefire suite","Sun Mar 09 18:08:31 GMT 2025","passed","Sun Mar 09 18:08:31 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testFooterInformationAqua"
"Проверка перехода на страницу Epolif Aqua через страницу ACP1","1102","testGoToAquaPageFromACP1","Surefire suite","Sun Mar 09 18:08:22 GMT 2025","passed","Sun Mar 09 18:08:23 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testGoToAquaPageFromACP1"
"Проверка перехода на главную страницу через ссылку 'Главная' на странице Epolif Aqua","1177","testGoToMainPageFromAqua","Surefire suite","Sun Mar 09 18:08:35 GMT 2025","passed","Sun Mar 09 18:08:37 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testGoToMainPageFromAqua"
"Проверка перехода на страницу Epolif ACP1 через страницу Epolif Aqua","1022","testGoToAcp1FromAqua","Surefire suite","Sun Mar 09 18:08:31 GMT 2025","passed","Sun Mar 09 18:08:32 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testGoToAcp1FromAqua"
"Проверка перехода на главную страницу по нажатию на ссылку 'Главная'","603","testGoToMainPage","Surefire suite","Sun Mar 09 18:08:43 GMT 2025","passed","Sun Mar 09 18:08:43 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testGoToMainPage"
"Проверка перехода на страницу Epolif GL21","471","testGoToGl21Page","Surefire suite","Sun Mar 09 18:08:42 GMT 2025","passed","Sun Mar 09 18:08:42 GMT 2025","tests.MainPageTests","Surefire test","tests.MainPageTests","testGoToGl21Page"
"Проверка повторного перехода на страницу Epolif GL21 через страницу Epolif GL21","958","testGoToGL21FromGL21","Surefire suite","Sun Mar 09 18:08:14 GMT 2025","passed","Sun Mar 09 18:08:15 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testGoToGL21FromGL21"
"Проверка перехода на страницу Epolif ACP1 через страницу Epolif GL21","1039","testGoToACP1FromGL21","Surefire suite","Sun Mar 09 18:08:12 GMT 2025","passed","Sun Mar 09 18:08:13 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testGoToACP1FromGL21"
"Проверка корректности информации о компании в футере страницы Epolif GL21","680","testFooterInformationGL21","Surefire suite","Sun Mar 09 18:08:11 GMT 2025","passed","Sun Mar 09 18:08:12 GMT 2025","tests.GL21Test","Surefire test","tests.GL21Test","testFooterInformationGL21"
"Проверка перехода на главную страницу через ссылку 'Главная' на странице ACP1","1094","testGoToMainPageFromACP1","Surefire suite","Sun Mar 09 18:08:26 GMT 2025","passed","Sun Mar 09 18:08:27 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testGoToMainPageFromACP1"
"Проверка работоспособности кнопки 'Наверх' на странице ACP1","781","testUpButtonACP1","Surefire suite","Sun Mar 09 18:08:27 GMT 2025","passed","Sun Mar 09 18:08:27 GMT 2025","tests.ACP1Test","Surefire test","tests.ACP1Test","testUpButtonACP1"
"Проверка перехода на страницу Epolif Aqua через ссылку 'Epolif Aqua'","970","testGoToAquaPageFromAqua","Surefire suite","Sun Mar 09 18:08:32 GMT 2025","passed","Sun Mar 09 18:08:33 GMT 2025","tests.AquaTest","Surefire test","tests.AquaTest","testGoToAquaPageFromAqua"
